zone_id,model_type,r2_score,mae,rmse,zone_category,training_samples,test_samples,best_params
zone_viman_nagar_03,RandomForest,0.9878515887977114,0.0166176144492136,0.0357682619746982,it_corporate,1325,233,"{'max_depth': 30, 'max_features': 0.8, 'min_samples_leaf': 2, 'n_estimators': 200}"
zone_vishrantwadi_01,GradientBoosting,0.9999999999999876,1.1033302819776471e-08,1.1523133785671465e-08,mixed_suburban,1326,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_vishrantwadi_main_01,GradientBoosting,0.9999999999999876,1.1033302819776471e-08,1.1523133785671465e-08,mixed_suburban,1326,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_wakad_01,RandomForest,0.990288139995941,0.014610622317597015,0.03198079847113193,it_corporate,1324,233,"{'max_depth': 20, 'max_features': 0.8, 'min_samples_leaf': 2, 'n_estimators': 100}"
zone_wakad_02,GradientBoosting,0.9905727296054548,0.013535941689784,0.03150874299385788,it_corporate,1324,233,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 150}"
zone_wakad_bridge_01,GradientBoosting,0.9925260266082984,0.011768717729512556,0.028055232337116466,it_corporate,1324,233,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 150}"
zone_wakad_hinjewadi_01,RandomForest,0.9923894071154493,0.012871225071225536,0.028286410061781134,it_corporate,1326,234,"{'max_depth': 20, 'max_features': 0.8, 'min_samples_leaf': 2, 'n_estimators': 100}"
zone_wanowrie_01,GradientBoosting,0.9999999999999876,1.103598682192539e-08,1.1523728020682272e-08,mixed_suburban,1326,234,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_wanowrie_market_01,GradientBoosting,0.9981788020194886,0.0009647261003589562,0.008770788944139874,commercial_medium,1324,233,"{'learning_rate': 0.15, 'max_depth': 8, 'n_estimators': 150}"
zone_warje_01,GradientBoosting,0.9999999999999909,1.120801363826902e-08,1.2395973686332209e-08,residential,1326,234,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 150}"
zone_warje_residential_01,GradientBoosting,0.9999999999999909,1.120801363826902e-08,1.2395973686332209e-08,residential,1326,234,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 150}"
zone_yerwada_01,GradientBoosting,0.9999999999999876,1.1034240690921071e-08,1.1523727279281282e-08,mixed_suburban,1325,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_yerwada_commerce_01,GradientBoosting,0.9999999999999876,1.1034240690921071e-08,1.1523727279281282e-08,mixed_suburban,1325,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
